Category,Material,Plan basis,Net quantity,Calculated sheets/pieces,Recommended order qty,Notes
Studs,2x4x10 studs,"2x4 Wood Stud model 10; 371'-5 7/8 wall length",279 base studs,279,325,"16 in o.c. plus approx 15 percent openings/corners/waste"
Studs,2x6x10 studs,"2x6 Wood Stud model 10; 600'-7 7/8 wall length",451 base studs,451,525,"16 in o.c. plus approx 15 percent openings/corners/waste"
Studs,2x6x12 studs,"2x6 Wood Stud model 12; 39'-7 1/2 wall length",30 base studs,30,36,"Separate 12-ft 2x6 wall row"
Studs,2x4x14 column stock,"2x4 Column 14; 112'-11 1/4 length",85 base studs,85,100,"Column/parapet framing row"
Plates,2x4x16 plate stock,"371'-5 7/8 wall length x 3 plates",1114 LF,70 pieces,78,"Bottom plate plus double top plate"
Plates,2x6x16 plate stock,"640'-3 3/8 wall length x 3 plates",1921 LF,121 pieces,132,"Bottom plate plus double top plate"
Blocking,2x4x16 backing/blocking,"Plan allowance",,90,90,"Cabinet/drywall/MEP/misc backing"
Blocking,2x6x16 backing/blocking,"Plan allowance",,70,70,"Exterior blocking/backing"
Sheathing,1 inch OX SI wall sheathing,"OX Si 10 + OX SI Parapet; 5315 SF + 43 SF",5358 SF,168 sheets,185,"4x8 sheet basis; 10 percent waste"
Sheathing,"3/4 T&G Advantech roof deck","Owner-corrected roof deck basis",9097 SF,285 sheets,315,"4x8 sheet basis; 10 percent waste"
Sheathing,5/8 CDX plywood roof layer,"Roof material takeoff",9097 SF,285 sheets,315,"4x8 sheet basis; 10 percent waste"
Sheathing,Advantech 1.125 floor sheathing,"Main 1060 SF + Upper 1260 SF",2320 SF,73 sheets,82,"4x8 sheet basis; 10 percent waste"
Headers,2x10x6,"Default double 2x10 header note; small scheduled openings",,70 pieces,70,"Excludes LVL/steel-specific openings"
Headers,2x10x10,"Default double 2x10 header note; 6 ft to 6 ft 3 in openings",,36 pieces,36,"Includes Urban Iron 106 verification allowance; excludes garage/LVL/steel-specific openings"
Rammed earth,11 LSL rammed walls,"A905 schedule",126'-8 1/2 length / 1811 SF,,Include,"Owner confirmed this belongs in scope"
